20200913 太空珍宝,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/15af43b334304c2cbb19c15fb73e585c/main.m3u8
20200906 太空“来客”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9916cdd570304a448fc1ee285d980606/main.m3u8
20200830 人体攻防战,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1d579882510d4033810f6dcdf7183576/main.m3u8
20200823 古代文明幻想曲（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/cc42a021e27d43b7aeaf5ef0213a080a/main.m3u8
20200816 古代文明幻想曲（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1f9790b8738ed7ef622b87975ef48a60/main.m3u8
20200809 金属狂潮,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/31d484a4b6bb43c79228c632ac9ecf26/main.m3u8
20200802 科幻中的宇宙（二）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2db8a57e9a20448f8ec2042afb887fd7/main.m3u8
20200726 科幻中的宇宙（一）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1032a9027afd4df08ab5530828ebf997/main.m3u8
20200719 科幻中的机器人（二）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1f9790b8738ed7ef622b87975ef48a60/main.m3u8
20200712 科幻中的机器人（一）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/e34353b01f5045c895ad8bb5fc66a48c/main.m3u8
20200705 世界上的另一个我,https://tv.cctv.com/2020/07/05/VIDEjb20a2sSqXzn83gghOh0200705.shtml?spm=C59377.PfT24z0otbbj.EpU0XZbyoFGC.1185
20200628 飞碟之谜（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d2454bbb542d4613a9db478dab2addfd/main.m3u8
20200621 飞碟之谜（上）,https://tv.cctv.com/2020/06/21/VIDE7jwYPKakZVOc3iqrWpyK200621.shtml?spm=C59377.PfT24z0otbbj.EpU0XZbyoFGC.1193
20200614 当机器拥有了“智慧”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/03ed3d36560e41a5957ae33453b56762/main.m3u8
20200607 假如外星真有“人”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/941eb4730c0d4493a3d6b28f03211aa9/main.m3u8
20200531 未来的交通工具,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1a72aabe389048d3b26ab13a12930f4a/main.m3u8
20200524 不可思议的“动物”,https://tv.cctv.com/2020/05/24/VIDEyxNtAvMOjIkdFQwHSnEY200524.shtml?spm=C59377.PfT24z0otbbj.EpU0XZbyoFGC.1209
20200517 生存到“永远”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/74c50ca25816418298151bcfd8cd65e4/main.m3u8
